iter	Passed	Remaining
743	1002	344
744	1003	343
745	1005	342
746	1007	341
747	1008	339
748	1009	338
749	1010	336
750	1011	335
751	1011	333
752	1012	332
753	1013	330
754	1014	329
755	1014	327
756	1015	325
757	1016	324
758	1017	323
759	1019	321
760	1021	320
761	1022	319
762	1024	318
763	1025	316
764	1026	315
765	1026	313
766	1027	312
767	1028	310
768	1029	309
769	1029	307
770	1030	306
771	1032	305
772	1036	304
773	1037	302
774	1038	301
775	1039	299
776	1040	298
777	1041	297
778	1041	295
779	1042	294
780	1043	292
781	1043	291
782	1045	289
783	1046	288
784	1048	287
785	1050	286
786	1052	284
787	1053	283
788	1054	282
789	1055	280
790	1056	279
791	1057	277
792	1058	276
793	1059	274
794	1060	273
795	1062	272
796	1063	270
797	1064	269
798	1065	268
799	1066	266
800	1066	265
801	1067	263
802	1068	262
803	1069	260
804	1069	259
805	1070	257
806	1071	256
807	1071	254
808	1073	253
809	1076	252
810	1077	251
811	1079	249
812	1080	248
813	1081	247
814	1081	245
815	1082	244
816	1083	242
817	1084	241
818	1084	239
819	1085	238
820	1086	236
821	1087	235
822	1089	234
823	1092	233
824	1093	231
825	1093	230
826	1094	229
827	1095	227
828	1096	226
829	1097	224
830	1097	223
831	1098	221
832	1099	220
833	1100	218
834	1102	217
835	1104	216
836	1105	215
837	1106	213
838	1107	212
839	1108	211
840	1109	209
841	1109	208
842	1110	206
843	1111	205
844	1112	203
845	1112	202
846	1113	201
847	1114	199
848	1115	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1120	191
854	1121	190
855	1122	188
856	1123	187
857	1123	186
858	1124	184
859	1125	183
860	1125	181
861	1126	180
862	1127	178
863	1128	177
864	1128	176
865	1130	174
866	1132	173
867	1133	172
868	1134	171
869	1135	169
870	1136	168
871	1137	166
872	1138	165
873	1138	164
874	1139	162
875	1140	161
876	1140	160
877	1141	158
878	1143	157
879	1145	156
880	1147	154
881	1147	153
882	1149	152
883	1150	150
884	1151	149
885	1151	148
886	1152	146
887	1153	145
888	1153	144
889	1154	142
890	1155	141
891	1156	140
892	1159	138
893	1161	137
894	1162	136
895	1163	135
896	1164	133
897	1165	132
898	1166	131
899	1167	129
900	1168	128
901	1169	127
902	1170	125
903	1171	124
904	1172	123
905	1173	121
906	1175	120
907	1176	119
908	1177	117
909	1177	116
910	1178	115
911	1179	113
912	1180	112
913	1181	111
914	1181	109
915	1182	108
916	1183	107
917	1184	105
918	1185	104
919	1186	103
920	1187	101
921	1188	100
922	1189	99
923	1190	97
924	1191	96
925	1192	95
926	1193	93
927	1194	92
928	1195	91
929	1195	90
930	1196	88
931	1197	87
932	1198	86
933	1198	84
934	1200	83
935	1202	82
936	1204	80
937	1205	79
938	1206	78
939	1207	77
940	1207	75
941	1208	74
942	1209	73
943	1210	71
944	1211	70
945	1212	69
946	1212	67
947	1213	66
948	1215	65
949	1217	64
950	1219	62
951	1220	61
952	1220	60
953	1221	58
954	1222	57
955	1223	56
956	1224	55
957	1224	53
958	1225	52
959	1226	51
960	1227	49
961	1228	48
962	1229	47
963	1231	45
964	1232	44
965	1233	43
966	1233	42
967	1234	40
968	1235	39
969	1236	38
970	1237	36
971	1238	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1244	27
978	1246	26
979	1247	25
980	1248	24
981	1249	22
982	1250	21
983	1251	20
984	1252	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1259	10
992	1261	8
993	1262	7
994	1263	6
995	1264	5
996	1265	3
997	1265	2
998	1266	1
999	1267	0
